,location,lat,long,alt,year,month,bloom_date,bloom_doy,AGDD_Bloom,AGDD_Mar_13,DOY_Mar_13,winter_avg_daily_temp,winter_avg_tmax,winter_avg_tmin,spring_avg_daily_temp,spring_avg_tmax,spring_avg_tmin,dec_avg_daily_temp,dec_avg_tmax,dec_avg_tmin,jan_avg_daily_temp,jan_avg_tmax,jan_avg_tmin,feb_avg_daily_temp,feb_avg_tmax,feb_avg_tmin
0,kyoto,35.0119831,135.6761135,44,1980,4,1980-04-11,102,664.3776673,352.2227,73,4.4818063159615384,8.04271223956044,0.9209003923626374,6.453040917258064,10.718812990322581,2.1872688441935484,7.1551795482258065,11.076990151612904,3.23336894483871,3.5415517233064517,6.7159573612903225,0.36714608532258064,2.6291622529310343,6.217428996551725,-0.9591044906896552
1,kyoto,35.0119831,135.6761135,44,1981,4,1981-04-09,99,658.7808751,317.444,70,2.9302209978409093,6.271532651590909,-0.4110906559090909,7.239052999112904,11.342073758064517,3.13603224016129,4.503634344435484,8.088251119354839,0.919017569516129,1.2522356403448276,4.258995589655172,-1.7545243089655171,2.926141055803572,6.344579162142857,-0.4922970505357142
2,kyoto,35.0119831,135.6761135,44,1982,4,1982-04-03,93,625.3016947,355.2542,72,3.8635360426722225,7.260223348666667,0.46684873667777776,7.6889667141935485,12.020760729032258,3.3571726993548388,5.199861815983871,8.904130725806452,1.4955929061612905,3.190712413709677,6.582074383225806,-0.20064955580645166,3.1289443828571426,6.190990821428572,0.0668979442857143
3,kyoto,35.0119831,135.6761135,44,1983,4,1983-04-09,99,764.9394699,351.5349,72,4.622901286244444,8.224383833333333,1.0214187391555556,7.100028994419355,10.368545393548388,3.8315125952903224,6.464476003064516,10.192910629032259,2.736041377096774,3.8666325303225806,7.310344329032258,0.4229207316129032,3.4213125438214287,7.056915760714285,-0.21429067307142863
4,kyoto,35.0119831,135.6761135,44,1984,4,1984-04-18,109,683.3828617,274.8672,73,2.4496911650555555,5.492306406555556,-0.5929240764444444,4.03950994016129,7.762106012903225,0.3169138674193549,4.621608703387097,8.045199941935484,1.1980174648387096,1.4533495376666667,4.250517526666667,-1.3438184513333333,1.1586844455172414,4.047960434137931,-1.7305915431034484
5,kyoto,35.0119831,135.6761135,44,1985,4,1985-04-09,99,666.9291334,299.8815,71,4.2353126996890245,7.396349169512195,1.0742762298658537,7.214108032258064,10.577233848387097,3.850982216129032,5.86152877716129,9.222393296774195,2.5006642575483875,2.014115036041667,5.171633283333334,-1.14340321125,4.3425736450925925,7.277305218518518,1.4078420716666666
6,kyoto,35.0119831,135.6761135,44,1986,4,1986-04-12,102,583.976075,313.0801,72,2.717563716460674,5.988074349662921,-0.552946916741573,6.404410689166666,10.28645391,2.5223674683333335,4.6946474009677415,8.12355264516129,1.2657421567741935,1.8745530765,5.129348693333333,-1.3802425403333334,1.431875322857143,4.543858011428571,-1.6801073657142855
7,kyoto,35.0119831,135.6761135,44,1987,4,1987-04-05,95,650.1068639,391.4413,72,5.2439672075555555,8.573242716666666,1.9146916984444444,7.016534958387097,10.496742580645162,3.536327336129032,7.073476487258064,10.507725429032257,3.639227545483871,3.994304108225806,7.09530673548387,0.8933014809677419,4.601994650714286,8.067780264285714,1.1362090371428573
8,kyoto,35.0119831,135.6761135,44,1988,4,1988-04-15,106,765.7081123,371.453,73,4.761292291730769,8.177122337362638,1.345462246098901,6.3380386153225805,9.759624229032259,2.9164530016129033,6.479352339354839,10.529987509677419,2.4287171690322578,4.841479559596774,8.151622232258065,1.531336886935484,2.83902792,5.689249334482759,-0.01119349448275864
9,kyoto,35.0119831,135.6761135,44,1989,4,1989-04-03,93,760.9830379,544.8066,72,5.514774292883333,8.649710433333333,2.3798381524333334,7.451869394032258,11.098151277419355,3.8055875106451613,5.174022718806452,8.840393919354838,1.5076515182580645,5.820248635854839,8.658631032258064,2.9818662394516133,5.553831227321429,8.428720196428571,2.6789422582142857
