,location,lat,long,alt,year,winter_avg_daily_temp,winter_avg_tmax,winter_avg_tmin,spring_avg_daily_temp,spring_avg_tmax,spring_avg_tmin,dec_avg_daily_temp,dec_avg_tmax,dec_avg_tmin,jan_avg_daily_temp,jan_avg_tmax,jan_avg_tmin,feb_avg_daily_temp,feb_avg_tmax,feb_avg_tmin,march_avg_daily_temp,march_avg_tmax,march_avg_tmin
1,vancouver,49.2236916,-123.1636251,24,1980,2.2364597428626376,4.29066580956044,0.18225367616483515,4.371844309354838,6.6883961,2.055292518709677,4.29817792217742,6.17584728516129,2.4205085591935482,-1.0402244797419355,1.2950157041935482,-3.3754646636774193,3.535216547758621,5.477718482758621,1.5927146127586207,4.371844309354838,6.6883961,2.055292518709677
2,vancouver,49.2236916,-123.1636251,24,1981,4.2931244920340905,6.756434790681817,1.8298141933863639,7.040046176467742,11.16549832580645,2.914594027129032,3.699880970483871,5.457196968387097,1.9425649725806453,4.8967688320689655,7.8719390103448275,1.9215986537931036,4.324726753,7.039533009285714,1.6099204967142857,7.040046176467742,11.16549832580645,2.914594027129032
3,vancouver,49.2236916,-123.1636251,24,1982,2.0917116238833335,4.606110284222222,-0.4226870364555555,4.705750843612903,8.786547225806451,0.6249544614193548,2.3578282849999996,4.915497812903226,-0.1998412429032258,0.8322523171774194,3.1681496158064517,-1.5036449814516128,3.191483838642857,5.855601974642857,0.5273657026428571,4.705750843612903,8.786547225806451,0.6249544614193548
4,vancouver,49.2236916,-123.1636251,24,1983,4.471662822638889,7.259367940000001,1.6839577052777779,7.327318535806452,10.915826493548387,3.738810578064516,2.8576153387096777,5.605442548387097,0.10978812903225806,5.16013452282258,7.770472951612903,2.549796094032258,5.496407440357143,8.524633360714287,2.4681815200000004,7.327318535806452,10.915826493548387,3.738810578064516
5,vancouver,49.2236916,-123.1636251,24,1984,2.3188327122777777,5.0893649493333335,-0.45169952477777775,6.75391701532258,10.333780532258064,3.1740534983870967,-1.0116102067741937,1.5704567270967742,-3.5936771406451613,3.320635021,6.0778374033333336,0.5634326386666667,4.842614133965517,7.828398786206897,1.856829481724138,6.75391701532258,10.333780532258064,3.1740534983870967
6,vancouver,49.2236916,-123.1636251,24,1985,0.6566379880487805,3.4298487651219514,-2.1165727890243904,4.426278810870968,8.257772009677419,0.5947856120645161,-0.740185768548387,1.66584228,-3.146213817096774,0.69344376625,3.71320520625,-2.3263176737499998,2.2276823501851855,5.203317152222223,-0.7479524518518519,4.426278810870968,8.257772009677419,0.5947856120645161
7,vancouver,49.2236916,-123.1636251,24,1986,2.9318571797078654,6.033442094382022,-0.1697277349662921,7.0293921930000005,10.437140533333332,3.6216438526666668,0.7088946207741935,3.5874760451612904,-2.1696868036129033,5.481901017499999,8.44161916,2.522182875,2.6608044723214284,6.161286221428571,-0.8396772767857142,7.0293921930000005,10.437140533333332,3.6216438526666668
8,vancouver,49.2236916,-123.1636251,24,1987,3.860400809833333,6.739614481888889,0.9811871377777777,6.7527998090322585,10.54767116451613,2.957928453548387,3.0701440893548386,5.978619570967742,0.16166860774193548,3.1982834853225808,5.915254008709677,0.4813129619354839,5.4683863596428575,8.49482937142857,2.441943347857143,6.7527998090322585,10.54767116451613,2.957928453548387
9,vancouver,49.2236916,-123.1636251,24,1988,2.776866392956044,5.764633741208792,-0.21090095529670327,5.687036477629032,9.15088419032258,2.223188764935484,1.8884628537096773,4.563333614193548,-0.7864079067741936,2.2874388609354837,5.286660735806452,-0.7117830139354838,4.249720296724138,7.559718813793104,0.9397217796551725,5.687036477629032,9.15088419032258,2.223188764935484
10,vancouver,49.2236916,-123.1636251,24,1989,1.8157704240388888,4.7224557229999995,-1.0909148749222222,4.479534307903227,7.5353885880645155,1.4236800277419357,3.5908619853225803,6.1087139990322585,1.0730099716129033,2.3698223197903223,5.008128149032258,-0.26848350945161287,-0.7629241176785714,2.8713895885714287,-4.397237823928571,4.479534307903227,7.5353885880645155,1.4236800277419357
11,vancouver,49.2236916,-123.1636251,24,1990,3.2573537709888893,5.973632126444444,0.5410754155333333,5.987615853483871,10.142401783870968,1.8328299230967742,4.027980642580645,6.281520067741935,1.7744412174193551,3.7406890019677417,6.336256206451613,1.145121797483871,1.869038586,5.231279531428571,-1.4932023594285713,5.987615853483871,10.142401783870968,1.8328299230967742
12,vancouver,49.2236916,-123.1636251,24,1991,2.1194720093277777,4.928548390111112,-0.6896043714555555,4.440146487580646,7.806030458064517,1.0742625170967743,-0.41816574935483863,2.250934955483871,-3.0872664541935486,0.6954959175806451,3.2628865835483873,-1.871894748387097,6.505544486589286,9.73717455,3.2739144231785713,4.440146487580646,7.806030458064517,1.0742625170967743
